SYMBOL,SECURITY,BMK WT,LDR,RTG,C,Q,V,E,M,G,VOL,ETMO,MC,FLT,ADTV,DAYS HELD,YTD PERF,P/E FY2,ROE,ANALYST,IM HOLD,
MMT FP,M6-Metropole Television,0.01,,N,6,6,34,12,25,78,9,,"3,004","1,309",4.50,0,34.3,16.1,,Drew Buckley,,
POM FP,Plastic Omnium,0.01,,O,7,23,23,20,43,30,15,,"5,820","2,223",13.65,0,21.3,10.9,,Anil Daka,,
7270 JP,Subaru Corp,0.13,Yes,N,8,4,5,59,81,46,65,,"27,419","21,635",127.43,0,-9.8,8.8,,Andrew Siepker,,
5110 JP,Sumitomo Rubber Industries,0.02,,NO,8,18,6,75,43,70,39,,"4,328","2,916",21.10,0,10.3,9.4,,Quant Intl,,
5991 JP,Nhk Spring Co Ltd,0.01,,,9,36,3,66,44,60,45,,"2,435","1,685",8.18,0,13.7,9.0,,,,
868 HK,Xinyi Glass Holdings Ltd,0.01,,NO,9,28,13,35,51,37,28,,"3,755","1,727",10.18,0,28.8,7.2,,Anil Daka,,
FLT AU,Flight Centre Travel Group L,0.01,,,10,20,44,15,36,80,47,,"3,541","1,473",18.85,0,54.6,18.4,,,,
7261 JP,Mazda Motor Corp,0.05,,N,10,36,4,42,78,47,80,,"8,761","8,281",80.64,0,-7.5,7.3,,Andrew Siepker,,
4204 JP,Sekisui Chemical Co Ltd,0.04,,NO,10,26,27,28,29,65,38,,"9,364","7,611",24.01,0,17.6,13.3,,William DeAllaume,,
MKS LN,Marks & Spencer Group Plc,0.04,,,11,27,10,38,79,74,18,,"6,706","6,703",63.61,0,1.2,11.0,,,,
CCL LN,Carnival Plc,0.08,Yes,O,12,34,43,16,5,48,11,,"49,141","12,713",63.32,0,32.3,15.7,,Vivian Lin Thurston,,
7272 JP,Yamaha Motor Co Ltd,0.05,,,13,45,20,14,32,42,70,,"9,932","7,990",43.94,0,13.9,11.0,,,,
7276 JP,Koito Manufacturing Co Ltd,0.04,Yes,O,13,13,49,10,63,46,48,,"9,895","7,293",22.27,0,9.0,15.5,,Andrew Siepker,,
TCG LN,Thomas Cook Group Plc,0.01,,,14,45,17,25,24,49,34,,"2,452","2,176",20.22,0,31.4,10.5,,,,
GKN LN,Gkn Plc,0.04,,N,14,21,14,65,65,73,45,,"7,074","7,061",46.91,0,4.9,9.0,,Andrew Siepker,,
27 HK,Galaxy Entertainment Group L,0.08,Yes,O,14,19,78,6,12,25,87,,"26,332","13,870",82.18,0,41.7,22.4,,Vivian Lin Thurston,,
7832 JP,Bandai Namco Holdings Inc,0.04,,O,14,12,30,55,21,50,33,,"7,564","6,391",26.35,0,28.0,15.8,,Dan Su,,
FR FP,Valeo Sa,0.10,Yes,O,15,13,35,47,31,38,27,,"16,363","15,888",97.68,0,23.5,11.6,,Andrew Siepker,,
CON GR,Continental Ag,0.15,Yes,N,15,9,28,47,53,63,23,,"45,917","24,800",157.18,0,19.2,10.9,,Andrew Siepker,,
NXT LN,Next Plc,0.05,Yes,N,15,5,18,38,93,72,22,,"7,820","7,493",62.22,0,-13.4,10.5,,Vivian Lin Thurston,,
WMH LN,William Hill Plc,0.02,Yes,N,15,24,12,59,82,78,16,,"2,679","2,678",31.70,0,-5.4,9.8,,Dan Su,,
TFI FP,Television Francaise (T.f.1),0.01,,,16,45,52,3,23,74,69,,"2,968","1,667",3.46,0,48.5,21.0,,,,
9602 JP,Toho Co Ltd,0.03,,,17,18,64,9,56,63,38,,"6,976","4,035",13.36,0,26.9,22.2,,,,
7731 JP,Nikon Corp,0.04,,,17,32,41,11,57,93,75,,"6,702","6,044",38.92,0,11.0,15.7,,,,
7988 JP,Nifco Inc,0.01,,,17,14,44,27,52,68,21,,"3,091","2,741",10.90,0,13.3,13.5,,,,
HLE GR,Hella Kgaa Hueck & Co,0.02,,,17,19,29,63,28,54,34,,"6,100","2,440",9.22,0,38.5,12.1,,,,
6923 JP,Stanley Electric Co Ltd,0.03,,O,17,20,51,26,34,41,21,,"5,853","4,916",15.56,0,20.6,15.4,,Anil Daka,,
6902 JP,Denso Corp,0.15,Yes,N,17,43,31,7,64,64,48,,"38,465","21,358",71.52,0,7.8,13.7,,Andrew Siepker,,
DOO CN,Brp Inc/ca- Sub Voting,0.01,,,18,5,54,32,21,44,24,,"3,615",940,4.29,0,28.4,15.9,,,,
CDI FP,Christian Dior Se,0.02,Yes,N,18,13,44,54,13,44,75,,"54,395","2,551",73.40,0,"3,283.9",20.0,,Vivian Lin Thurston,,
ETL FP,Eutelsat Communications,0.03,,,20,30,41,30,32,78,6,,"6,636","4,773",29.27,0,40.8,16.9,,,,
QBR/B CN,Quebecor Inc  -Cl B,0.02,,,20,32,53,9,56,62,43,,"4,609","3,120",11.92,0,9.2,15.2,,,,
MC FP,Lvmh Moet Hennessy Louis Vui,0.39,Yes,O,20,14,72,22,14,43,10,,"129,953","68,144",277.23,0,32.5,20.5,,Vivian Lin Thurston,,
BOSS GR,Hugo Boss Ag  -Ord,0.03,,N,20,2,50,35,45,51,20,,"5,856","5,097",45.30,0,27.4,19.0,,Dan Su,,
7240 JP,Nok Corp,0.02,,N,20,47,33,10,51,41,32,,"3,857","2,118",9.97,0,12.7,11.7,,Anil Daka,,
HVN AU,Harvey Norman Holdings Ltd,0.01,,,21,31,18,26,97,63,18,,"3,850","1,718",18.65,0,-2.4,12.5,,,,
NRE1V FH,Nokian Renkaat Oyj,0.03,Yes,O,21,5,55,29,48,76,19,,"5,807","4,892",36.57,0,14.8,15.7,,Anil Daka,,
669 HK,Techtronic Industries Co Ltd,0.04,,O,21,27,46,30,38,39,20,,"9,021","6,746",15.65,0,23.5,16.3,,Anil Daka,,
NOS PL,Nos Sgps,0.01,,N,22,23,33,35,85,21,51,,"3,269","1,450",6.97,0,10.6,19.9,,Drew Buckley,,
6758 JP,Sony Corp,0.30,,O,22,49,41,13,20,9,70,,"49,131","49,008",228.79,0,45.9,15.5,,William Benton,,
ALL AU,Aristocrat Leisure Ltd,0.07,,N,23,3,71,28,16,10,71,,"10,740","9,474",43.32,0,43.5,21.5,,Dan Su,,
IHG LN,Intercontinental Hotels Grou,0.06,Yes,N,23,4,75,31,7,58,4,,"9,425","8,775",44.03,0,31.0,19.0,,Vivian Lin Thurston,,
425 HK,Minth Group Ltd,0.02,,O,24,29,63,10,53,18,14,,"5,007","3,022",17.07,0,50.9,14.0,,Taylor Cope,,
8227 JP,Shimamura Co Ltd,0.02,,O,24,7,21,77,76,76,19,,"4,567","2,891",26.33,0,-0.8,13.9,,Dan Su,,
200 HK,Melco International Develop.,0.01,,,25,49,50,14,10,4,95,,"3,719","1,718",17.88,0,70.6,17.7,,,,
6752 JP,Panasonic Corp,0.18,,,26,52,29,37,12,41,44,,"32,834","29,301",97.92,0,34.9,14.6,,,,
GENS SP,Genting Singapore Plc,0.03,,,26,51,60,5,19,16,88,,"10,423","4,904",18.61,0,37.1,21.6,,,,
880 HK,Sjm Holdings Ltd,0.01,,,26,37,51,31,13,99,69,,"4,981","1,623",11.35,0,30.8,23.8,,,,
4732 JP,Uss Co Ltd,0.03,,N,26,6,83,13,27,78,2,,"6,154","4,173",10.02,0,28.9,22.1,,Dan Su,,
TNET BB,Telenet Group Holding Nv,0.02,Yes,N,26,21,57,54,24,14,41,,"7,820","3,277",14.54,0,24.6,19.6,,Drew Buckley,,
GIL CN,Gildan Activewear Inc,0.04,,N,28,28,56,23,60,52,5,,"6,800","6,534",27.95,0,2.4,16.2,,Dan Su,,
ITV LN,Itv Plc,0.05,,N,28,8,20,81,83,74,43,Yes,"8,375","7,530",59.99,0,-6.5,10.1,,William Benton,,
SHA GR,Schaeffler Ag Npv (Non Vtg Prf Shs),0.01,,,29,17,8,98,81,71,17,Yes,"9,246","2,305",28.60,0,-1.1,7.0,,,,
8060 JP,Canon Marketing Japan Inc,0.01,,,29,55,21,46,19,58,38,,"3,440","1,047",4.88,0,29.8,15.6,,,,
RRTL GR,Rtl Group,0.02,,N,29,8,19,82,88,71,9,,"12,057","2,902",13.38,0,9.4,,,William Benton,,
WTB LN,Whitbread Plc,0.05,Yes,N,29,24,47,44,63,62,4,,"8,920","8,911",51.00,0,10.0,13.4,,Vivian Lin Thurston,,
KGF LN,Kingfisher Plc,0.05,Yes,N,29,42,9,53,97,58,30,,"8,353","8,351",75.04,0,-7.4,11.3,,Vivian Lin Thurston,,
6460 JP,Sega Sammy Holdings Inc,0.02,,N,29,31,7,91,85,71,92,Yes,"3,594","2,313",21.92,0,-9.6,20.8,,Drew Buckley,,
CTC/A CN,Canadian Tire Corp-Class A,0.05,,,30,52,36,12,67,45,10,,"8,665","7,801",38.08,0,-4.0,13.3,,,,
KINDSDB SS,Kindred Group Plc,0.01,,,30,11,43,77,32,58,37,,"2,394","2,394",10.23,0,24.8,15.7,,,,
CPG LN,Compass Group Plc,0.20,Yes,O,30,13,50,66,35,52,6,,"33,164","33,108",108.14,0,15.7,21.0,,Vivian Lin Thurston,,
BRE IM,Brembo Spa,0.01,Yes,O,30,9,75,29,31,63,42,,"5,113","2,266",8.40,0,28.3,16.1,,Taylor Cope,,
1929 HK,Chow Tai Fook Jewellery Grou,0.01,,,31,21,72,38,25,61,59,,"10,452","1,114",4.82,0,44.3,18.8,,,,
RACEM EB,Ferrari Nv Com Eur0.01,0.09,,O,31,2,94,11,8,44,43,,"21,858","14,358",70.90,0,83.6,,,Andrew Siepker,,
JD/ LN,Jd Sports Fashion Plc,0.01,,N,31,10,67,32,58,22,30,,"4,154","1,729",13.60,0,20.3,13.0,,Dan Su,,
GEST SM,Gestamp Automocion Sa,0.01,,,32,25,42,64,,,10,,"3,955","1,136",5.39,0,26.7,10.5,,,,
5101 JP,Yokohama Rubber Co Ltd,0.01,,,32,58,15,52,38,36,41,,"3,194","2,454",13.23,0,12.8,9.0,,,,
973 HK,L'occitane International Sa,0.01,,N,32,8,71,24,70,39,13,,"3,408",885,1.53,0,22.5,18.6,,Rita Spitz,,
BWY LN,Bellway Plc,0.03,,O,32,79,24,12,12,43,48,,"5,026","5,005",30.49,0,37.0,8.2,,Alaina Anderson,,
ALV,Autoliv Inc,0.06,Yes,N,32,27,33,62,73,77,42,,"9,202","9,186",52.42,0,-2.8,15.1,,Andrew Siepker,,
BME LN,B&m European Value Retail Sa,0.02,,N,33,37,73,10,36,39,25,,"4,799","4,080",46.42,0,38.9,17.9,,Dan Su,,
HUSQB SS,Husqvarna Ab-B Shs,0.02,,O,33,32,34,70,41,41,26,,"5,602","3,840",24.10,0,29.8,14.5,,Anil Daka,,
SAX GR,Stroeer Se & Co Kgaa,0.01,,N,33,25,72,30,37,42,41,,"3,494","1,599",12.42,0,48.0,16.2,,Drew Buckley,,
DMGT LN,Daily Mail&general Tst-A Nv,0.01,,,34,19,24,80,92,83,36,Yes,"2,819","2,164",11.54,0,-12.0,11.6,,,,
5802 JP,Sumitomo Electric Industries,0.07,,,34,62,23,29,44,58,33,,"12,531","11,727",43.71,0,11.6,10.3,,,,
PSM GR,Prosiebensat.1 Media Se,0.05,Yes,O,34,5,16,91,90,67,25,Yes,"9,048","8,870",75.63,0,6.9,12.4,,William Benton,,
DLG IM,De'longhi Spa,0.01,Yes,N,34,11,66,57,29,69,15,,"4,538","1,724",4.36,0,39.1,19.5,,Dan Su,,
TSGI CN,Stars Group Inc/the,0.01,,,35,62,26,28,39,35,19,,"2,603","2,035",16.10,0,8.2,7.9,,,,
MS IM,Mediaset Spa,0.01,,N,35,25,23,83,81,66,80,Yes,"4,653","1,220",17.73,0,-9.7,14.1,,Drew Buckley,,
AA/ LN,Aa Plc,0.01,,,36,12,25,90,81,68,37,Yes,"1,374","1,370",10.93,0,-5.4,6.8,,,,
KER FP,Kering,0.17,,,36,46,77,12,7,26,54,,"46,341","27,358",,,55.8,,,,,
SMWH LN,Wh Smith Plc,0.02,,O,36,8,68,43,59,71,3,,"2,622","2,603",13.55,0,22.5,16.8,,Rita Spitz,,
PNDORA DC,Pandora A/s,0.06,Yes,N,36,3,29,79,92,33,17,Yes,"11,259","11,072",142.34,0,-10.5,10.1,,Vivian Lin Thurston,,
MONC IM,Moncler Spa,0.03,,N,37,1,94,14,19,43,20,,"7,089","4,515",34.29,0,53.5,22.3,,Dan Su,,
PUB FP,Publicis Groupe,0.09,Yes,N,37,26,41,64,75,64,9,,"16,248","14,575",94.21,0,12.8,11.6,,William Benton,,
ADS GR,Adidas Ag,0.27,,O,37,23,88,16,39,12,43,,"46,600","44,170",228.43,0,44.4,24.0,,Vivian Lin Thurston,,
AGL IM,Autogrill Spa,0.01,Yes,O,38,26,59,74,14,65,41,,"3,201","1,593",11.14,0,31.7,24.4,,Rita Spitz,,
LUX IM,Luxottica Group Spa,0.05,Yes,N,38,15,78,39,42,67,6,,"27,217","8,320",53.58,0,12.1,22.5,,Vivian Lin Thurston,,
4661 JP,Oriental Land Co Ltd,0.09,,N,38,15,96,12,15,69,19,,"26,850","14,620",56.74,0,25.2,30.0,,Vivian Lin Thurston,,
5947 JP,Rinnai Corp,0.02,,N,38,30,58,38,64,67,13,,"4,612","2,984",10.29,0,15.7,19.3,,Dan Su,,
9401 JP,Tokyo Broadcasting System,0.00,,,39,66,29,20,54,53,41,,"3,744","1,862",5.59,0,17.4,21.3,,,,
BRBY LN,Burberry Group Plc,0.06,Yes,O,39,1,67,61,43,69,17,,"9,779","8,969",67.76,0,23.8,20.2,,Vivian Lin Thurston,,
7202 JP,Isuzu Motors Ltd,0.04,Yes,N,39,34,25,78,68,63,63,,"11,068","7,246",33.49,0,2.6,9.5,,Andrew Siepker,,
1910 HK,Samsonite International Sa,0.03,,N,39,24,75,46,34,53,39,,"5,499","5,230",14.29,0,46.3,18.6,,Dan Su,,
EVD GR,Cts Eventim Ag & Co Kgaa,0.01,Yes,O,40,3,78,48,35,32,9,,"4,218","2,393",10.95,0,49.0,27.0,,Drew Buckley,,
PSON LN,Pearson Plc,0.04,,,41,57,17,42,87,85,75,,"6,455","6,450",71.39,0,-8.9,12.5,,,,
A3M SM,Atresmedia Corp De Medios De,0.01,,O,41,18,31,91,76,52,53,Yes,"2,552",549,10.11,0,7.5,13.0,,Drew Buckley,,
1928 JP,Sekisui House Ltd,0.06,,N,41,69,24,27,45,72,50,,"11,896","10,162",45.43,0,6.8,9.6,,Alaina Anderson,,
7282 JP,Toyoda Gosei Co Ltd,0.01,,,42,51,17,76,57,28,43,,"3,036","1,640",7.40,0,3.7,11.1,,,,
SKY LN,Sky Plc,0.08,Yes,N,42,24,54,60,75,84,35,,"20,983","12,759",99.98,0,3.2,13.3,,William Benton,,
1928 HK,Sands China Ltd,0.07,Yes,O,42,8,83,33,53,43,30,,"36,361","10,848",61.97,0,13.0,20.7,,Vivian Lin Thurston,,
551 HK,Yue Yuen Industrial Hldg,0.02,,N,44,60,30,36,61,68,34,,"7,027","3,058",5.88,0,17.0,11.9,,Dan Su,,
MLCO,Melco Resorts & Entert-Adr,0.02,,N,44,54,63,19,27,18,85,,"10,217","10,217",73.92,0,39.3,23.3,,Vivian Lin Thurston,,
TL5 SM,Mediaset Espana Comunicacion,0.01,,,45,2,37,92,73,57,54,Yes,"4,175","2,078",20.20,0,11.5,16.4,,,,
7267 JP,Honda Motor Co Ltd,0.31,,N,45,74,12,37,79,66,52,,"50,286","45,995",131.70,0,-3.9,8.3,,Andrew Siepker,,
HMB SS,Hennes & Mauritz Ab-B Shs,0.15,Yes,N,45,2,51,57,98,55,18,Yes,"42,352","22,981",195.10,0,-3.6,16.3,,Vivian Lin Thurston,,
SPR GR,Axel Springer Se,0.02,,,46,50,63,22,43,47,36,,"6,754","3,001",12.28,0,34.1,18.6,,,,
5334 JP,Ngk Spark Plug Co Ltd,0.02,,,47,49,38,48,70,14,57,,"4,031","3,534",27.17,0,-8.5,9.0,,,,
7951 JP,Yamaha Corp,0.03,,,47,59,64,8,62,65,63,,"6,702","6,002",22.48,0,16.1,16.8,,,,
FIE GR,Fielmann Ag,0.01,Yes,N,47,2,90,20,73,73,18,,"7,007","2,131",9.24,0,23.3,31.2,,Dan Su,,
8233 JP,Takashimaya Co Ltd,0.02,,,48,69,40,19,50,48,41,,"3,313","2,796",14.62,0,10.6,15.1,,,,
6952 JP,Casio Computer Co Ltd,0.02,,N,48,43,42,72,40,51,74,,"3,682","3,015",25.81,0,15.1,14.1,,Dan Su,,
TCH FP,Technicolor - Regr,0.01,,N,48,50,18,66,93,69,91,Yes,"1,515","1,417",8.83,0,-31.1,7.4,,Drew Buckley,,
2670 JP,Abc-Mart Inc,0.01,,N,49,13,54,79,87,74,7,,"4,405","1,648",11.65,0,1.1,15.6,,Dan Su,,
HAV FP,Havas Sa,0.01,,,50,41,40,84,29,50,5,,"4,617","1,883",2.60,0,31.3,17.9,,,,
DIE BB,D'ieteren Sa/nv,0.01,,,50,65,22,46,77,60,65,,"2,619","1,070",1.47,0,9.5,9.1,,,,
DNLM LN,Dunelm Group Plc,0.00,,,50,2,50,74,97,67,13,,"1,573","1,120",4.50,0,-19.5,12.4,,,,
2433 JP,Hakuhodo Dy Holdings Inc,0.02,,N,50,49,39,69,42,46,29,,"5,359","3,069",9.33,0,14.7,17.7,,Drew Buckley,,
7211 JP,Mitsubishi Motors Corp,0.03,,,51,58,74,16,24,64,86,,"10,729","5,002",45.86,0,28.5,12.5,,,,
SGR AU,Star Entertainment Grp Ltd/t,0.02,,O,51,59,42,35,67,86,20,,"3,495","3,491",20.06,0,10.7,16.9,,Rita Spitz,,
MEL SM,Melia Hotels International,0.01,,N,52,67,72,7,29,34,55,,"3,398","1,606",16.42,0,32.1,20.4,,Alaina Anderson,,
3092 JP,Start Today Co Ltd,0.03,Yes,O,52,2,99,14,20,43,31,,"9,932","5,639",48.68,0,64.0,39.1,,Dan Su,,
AMEAS FH,Amer Sports Oyj,0.02,,N,53,34,36,78,92,46,49,Yes,"3,125","2,980",22.80,0,2.3,15.8,,Dan Su,,
7936 JP,Asics Corp,0.02,,N,54,33,59,58,85,78,74,,"3,096","2,783",18.86,0,-9.4,18.5,,Dan Su,,
DOL CN,Dollarama Inc,0.06,Yes,O,55,3,93,42,41,32,17,,"11,139","10,252",44.75,0,15.8,24.6,,Dan Su,,
SPD LN,Sports Direct International,0.01,,,56,61,56,26,66,90,76,,"2,770","1,083",12.04,0,40.2,20.7,,,,
GNK LN,Greene King Plc,0.02,,,56,69,14,71,79,81,7,,"2,604","2,597",10.62,0,2.7,9.1,,,,
7201 JP,Nissan Motor Co Ltd,0.12,,N,56,79,20,45,61,73,55,,"42,192","22,935",117.95,0,1.2,6.8,,Andrew Siepker,,
TTS AU,Tatts Group Ltd,0.03,,N,57,47,59,52,65,89,23,,"4,963","4,744",11.12,0,2.0,23.9,,Dan Su,,
DC/ LN,Dixons Carphone Plc,0.02,,N,57,75,3,85,98,63,66,Yes,"3,486","2,894",30.25,0,-19.7,5.5,,Dan Su,,
6201 JP,Toyota Industries Corp,0.05,,,58,75,41,35,37,73,40,,"16,914","7,950",25.76,0,13.6,12.8,,,,
MERL LN,Merlin Entertainment,0.03,,N,58,31,79,55,60,51,14,,"6,006","4,136",22.97,0,11.0,18.2,,Dan Su,,
WPP LN,Wpp Plc,0.14,Yes,O,58,40,24,88,95,65,6,Yes,"23,123","22,652",155.97,0,-7.3,11.2,,William Benton,,
494 HK,Li & Fung Ltd,0.01,,,59,62,13,81,95,99,72,,"3,084","2,056",7.28,0,-14.1,12.2,,,,
GVNV NA,Grandvision Nv,0.01,,N,59,5,77,80,71,75,9,Yes,"6,333","1,403",5.02,0,29.3,19.5,,Dan Su,,
9435 JP,Hikari Tsushin Inc,0.02,,N,59,57,60,48,37,61,66,,"5,640","2,422",9.94,0,18.6,16.2,,Dan Su,,
PPB ID,Paddy Power Betfair Plc,0.05,Yes,N,59,15,72,79,87,31,18,Yes,"7,556","6,959",14.57,0,-5.7,15.9,,Dan Su,,
9783 JP,Benesse Holdings Inc,0.02,,,60,61,74,44,6,36,52,,"3,900","3,248",12.56,0,40.9,46.0,,,,
SW FP,Sodexo Sa,0.06,,N,60,42,52,80,56,59,8,,"17,471","10,083",62.98,0,4.8,17.5,,Vivian Lin Thurston,,
UBM LN,Ubm Plc,0.02,,O,60,50,53,56,76,49,20,,"3,479","3,464",15.79,0,4.7,13.5,,Drew Buckley,,
ASC LN,Asos Plc,0.02,Yes,N,60,1,94,47,51,38,6,,"6,239","3,657",34.84,0,24.9,60.5,,Dan Su,,
BMW GR,Bayerische Motoren Werke Ag,0.19,Yes,N,60,85,30,19,68,67,52,,"60,795","30,047",256.03,0,1.6,7.2,,Andrew Siepker,,
BMW3 GR,Bayer Motoren Werk Non Vtg Prf Eur1,0.03,Yes,N,60,85,30,19,68,67,52,,"60,795","4,551",256.03,0,1.6,7.2,,Andrew Siepker,,
CFR VX,Cie Financiere Richemont-Reg,0.27,Yes,N,61,34,88,50,31,35,39,,"49,987","44,932",199.20,0,27.4,22.3,,Vivian Lin Thurston,,
SK FP,Seb Sa,0.03,,O,61,57,67,49,28,22,16,,"8,986","7,260",15.62,0,31.6,16.8,,Dan Su,,
9843 JP,Nitori Holdings Co Ltd,0.07,Yes,O,61,15,97,39,37,35,7,,"17,685","12,350",63.30,0,23.0,24.6,,Vivian Lin Thurston,,
7453 JP,Ryohin Keikaku Co Ltd,0.04,,N,62,29,90,60,29,37,11,,"7,828","6,494",53.21,0,31.6,24.2,,Dan Su,,
ELIOR FP,Elior Group,0.02,,N,62,64,57,58,20,53,13,,"4,612","2,801",17.93,0,17.4,16.7,,Rita Spitz,,
MANU,Manchester United Plc-Cl A,0.00,,,63,35,77,60,69,63,86,,"2,698",587,1.29,0,21.0,,,,,
1128 HK,Wynn Macau Ltd,0.02,Yes,N,63,50,92,20,23,18,65,,"11,591","3,221",19.89,0,39.4,19.9,,Vivian Lin Thurston,,
7203 JP,Toyota Motor Corp,0.91,,NO,63,74,34,40,79,60,56,,"184,726","138,131",384.80,0,-3.1,9.5,,Andrew Siepker,,
MTGB SS,Modern Times Group-B Shs,0.01,,NO,63,45,66,72,43,52,50,,"2,363","2,099",9.09,0,22.8,17.3,,Drew Buckley,,
8273 JP,Izumi Co Ltd,0.01,,O,63,64,68,36,35,35,16,,"3,766","1,811",8.87,0,20.9,14.8,,Dan Su,,
LBTYA,Liberty Global Plc-A,0.05,Yes,N,63,64,43,44,86,59,84,,"27,409","6,710",84.54,0,9.8,69.9,,William Benton,,
LBTYK,Liberty Global Plc- C,0.12,Yes,N,63,64,43,44,86,59,84,,"27,409","17,722",84.54,0,9.8,69.9,,William Benton,,
JCNC SP,Jardine Cycle & Carriage Ltd,0.02,,,64,34,40,97,75,55,26,Yes,"11,468","2,867",8.11,0,5.8,12.3,,,,
3291 JP,Iida Group Holdings Co Ltd,0.02,,N,64,87,12,48,87,83,40,,"5,114","2,400",16.14,0,-9.3,6.6,,Alaina Anderson,,
INF LN,Informa Plc,0.04,,N,64,53,48,71,71,59,15,,"7,285","7,276",32.35,0,11.0,13.9,,William Benton,,
ITX SM,Industria De Diseno Textil,0.26,Yes,N,64,5,91,68,60,27,1,,"123,119","43,672",197.21,0,16.2,25.4,,Vivian Lin Thurston,,
9983 JP,Fast Retailing Co Ltd,0.09,Yes,N,65,11,87,66,86,6,22,Yes,"30,526","15,372",171.19,0,-15.9,26.7,,Vivian Lin Thurston,,
3086 JP,J Front Retailing Co Ltd,0.02,,N,65,80,51,16,70,65,42,,"3,908","3,565",17.88,0,5.6,12.8,,Dan Su,,
1212 HK,Lifestyle Intl Hldgs Ltd,0.00,,,67,77,61,14,77,71,20,,"2,228","1,076",1.56,0,10.2,9.8,,,,
4751 JP,Cyberagent Inc,0.02,,N,68,8,75,99,37,27,81,,"4,052","3,151",35.55,0,23.6,30.2,,Drew Buckley,,
PUM GR,Puma Se,0.01,,,69,67,95,7,20,11,73,,"6,304",822,2.29,0,51.4,30.3,,,,
PAH3 GR,Porsche Auto Hl Se Non Vtg Prf Npv,0.05,,,69,89,30,27,70,25,78,,"17,426","8,713",28.39,0,7.1,4.1,,,,
MLC LN,Millennium & Copthorne Hotel,0.00,,,69,85,46,25,59,67,47,,"1,883",654,0.38,0,5.9,14.2,,,,
6417 JP,Sankyo Co Ltd,0.01,,,70,68,33,83,70,39,85,,"2,925","1,476",9.84,0,2.1,46.3,,,,
QSR CN,Restaurant Brands Intern,0.09,,N,72,60,97,15,14,16,30,,"28,571","13,104",40.27,0,9.2,24.5,,Vivian Lin Thurston,,
SFER IM,Salvatore Ferragamo Spa,0.01,,O,72,10,87,94,58,77,24,Yes,"4,714","1,708",26.82,0,24.1,20.3,,Dan Su,,
SJR/B CN,Shaw Communications Inc-B,0.06,,,73,41,59,96,60,38,24,Yes,"10,907","9,527",43.66,0,-2.9,21.2,,,,
SESG FP,Ses,0.05,,N,73,49,49,95,71,72,19,Yes,"10,294","10,294",36.64,0,13.9,16.7,,William Benton,,
RNO FP,Renault Sa,0.09,,,75,95,30,28,61,55,70,,"26,372","15,929",235.74,0,5.4,4.7,,,,
DAI GR,Daimler Ag-Registered Shares,0.43,Yes,N,75,88,28,54,82,65,50,,"76,829","71,680",450.06,0,-1.3,6.9,,Andrew Siepker,,
