SYMBOL,COMPANY,LDR,RTG,C,Q,V,E,M,G,VOL,ETMO,MC,FLT,ADTV,DAYS HELD,YTD PERF,P/E FY2,ROE,ANALYST,IM HOLD,
TOASO TI,Tofas Turk Otomobil Fabrikasi As,,O,14,28,41,20,23,43,53,,"4,535","1,101",5.07,0,30.4,12.5,,Anil Daka,,
GKN LN,Gkn Plc,,N,15,21,14,66,68,73,45,,"7,054","7,041",47.51,0,4.9,9.1,,Andrew Siepker,,
NXT LN,Next Plc,Yes,N,15,5,18,38,94,72,22,,"7,880","7,551",62.73,0,-13.4,10.6,,Vivian Lin Thurston,,
HFD LN,Halfords Group Plc,,O,15,25,13,44,86,84,14,,816,815,4.25,0,-0.5,10.2,,Rita Spitz,,
7581 JP,Saizeriya Co Ltd,,N,15,13,53,28,16,39,58,,"1,512",804,5.83,0,30.2,20.0,,Rita Spitz,,
VFC,Vf Corp,Yes,N,15,7,55,10,66,67,8,,"24,838","20,278",150.80,0,17.8,18.7,,Dan Su,,
FR FP,Valeo Sa,Yes,O,16,13,35,48,32,38,27,,"16,296","15,823",97.51,0,23.5,11.7,,Andrew Siepker,,
CON GR,Continental Ag,Yes,N,16,9,28,47,56,63,23,,"46,058","24,866",156.28,0,19.2,10.9,,Andrew Siepker,,
080160 KS,Modetour Network Inc,,O,16,25,58,17,15,14,68,,483,288,4.14,0,59.8,16.3,,Bryan Shea,,
6923 JP,Stanley Electric Co Ltd,,O,16,20,51,25,31,41,21,,"5,775","4,851",15.65,0,20.6,15.3,,Anil Daka,,
3087 JP,Doutor Nichires Holdings Co Ltd,,N,17,42,27,26,16,67,1,,"1,131",659,2.45,0,19.9,17.0,,Rita Spitz,,
6902 JP,Denso Corp,Yes,N,17,43,31,7,68,64,48,,"38,650","21,460",70.85,0,7.8,13.7,,Andrew Siepker,,
CDI FP,Christian Dior Se,Yes,N,18,13,44,55,12,45,75,,"54,364","2,550",74.02,0,"3,283.9",19.9,,Vivian Lin Thurston,,
WMH LN,William Hill Plc,Yes,N,19,24,11,70,84,80,16,Yes,"2,692","2,690",31.87,0,-5.4,9.7,,Dan Su,,
M TB,Mk Restaurants Group Pcl,,N,20,5,63,21,39,72,36,,"1,671",301,0.25,0,13.2,20.9,,Bryan Shea,,
ETO LN,Entertainment One Ltd,Yes,N,20,21,25,57,75,34,46,,"1,305","1,264",4.85,0,11.4,9.7,,Drew Buckley,,
2020 HK,Anta Sports Products Ltd,,N,20,6,74,5,65,33,11,,"10,288","3,920",17.44,0,18.3,19.2,,Dan Su,,
BELA GA,Jumbo Sa,Yes,O,20,19,40,45,54,51,7,,"2,257","1,733",5.70,0,7.7,13.6,,Rita Spitz,,
JBH AU,Jb Hi-Fi Ltd,Yes,N,20,22,30,25,95,61,11,,"2,332","2,319",21.25,0,4.5,11.8,,Rita Spitz,,
MC FP,Lvmh Moet Hennessy Louis Vuitton Se,Yes,O,20,14,72,22,12,44,10,,"130,591","68,479",277.35,0,32.5,20.4,,Vivian Lin Thurston,,
669 HK,Techtronic Industries Co Ltd,,O,20,27,46,29,38,39,20,,"9,020","6,745",15.65,0,23.5,16.2,,Anil Daka,,
7240 JP,Nok Corp,,N,20,46,33,10,53,41,32,,"3,839","2,108",9.90,0,12.7,11.4,,Anil Daka,,
ALL AU,Aristocrat Leisure Ltd,,N,21,3,71,24,15,10,71,,"10,772","9,503",43.29,0,43.5,21.5,,Dan Su,,
BOSS GR,Hugo Boss Ag,,N,21,2,48,38,45,51,20,,"5,875","5,113",45.25,0,27.4,18.6,,Dan Su,,
LCL LN,Ladbrokes Coral Group Plc,,N,21,44,12,32,84,18,68,,"2,944","2,450",24.00,0,17.8,7.6,,Rita Spitz,,
BC,Brunswick Corp/de,Yes,O,21,19,34,61,45,43,27,,"4,631","4,584",60.38,0,4.3,11.2,,Anil Daka,,
DG,Dollar General Corp,Yes,N,21,12,45,22,84,56,10,,"20,967","20,940",227.60,0,1.7,15.3,,Dan Su,,
3197 JP,Skylark Co Ltd,,N,22,19,31,75,31,79,6,,"2,885","2,212",37.29,0,14.5,15.1,,Rita Spitz,,
114090 KS,Grand Korea Leisure Co Ltd,,N,22,7,24,70,67,93,41,,"1,260",487,5.27,0,24.1,15.6,,Bryan Shea,,
BILIA SS,Bilia Ab,,N,22,19,28,30,99,57,39,Yes,999,846,2.30,0,-8.6,10.5,,Taylor Cope,,
NRE1V FH,Nokian Renkaat Oyj,Yes,O,22,5,55,30,51,76,19,,"5,813","4,897",36.58,0,14.8,15.8,,Anil Daka,,
SKT NZ,Sky Network Television Ltd,,N,22,24,7,73,99,83,23,Yes,875,802,2.05,0,-17.0,10.4,,Drew Buckley,,
NOS PL,Nos Sgps Sa,,N,22,23,33,34,85,20,50,,"3,277","1,454",7.00,0,10.6,19.9,,Drew Buckley,,
TGYM IM,Technogym Spa,,N,23,7,86,8,16,42,36,,"1,673",803,7.55,0,56.8,21.3,,Rita Spitz,,
SUL AU,Super Retail Group Ltd,,N,23,19,21,57,94,24,4,,"1,252",876,9.72,0,-8.6,10.8,,Rita Spitz,,
6758 JP,Sony Corp,,O,23,49,42,13,24,9,70,,"48,418","48,297",228.34,0,45.9,15.8,,William Benton,,
ROST,Ross Stores Inc,Yes,N,23,1,60,7,95,39,2,,"23,036","22,532",216.89,0,-15.9,16.7,,Vivian Lin Thurston,,
KROT3 BZ,Kroton Educacional Sa,Yes,O,24,37,59,4,70,54,63,,"9,233","8,731",53.21,0,17.6,12.0,,Dan Su,,
8227 JP,Shimamura Co Ltd,,O,24,7,21,77,77,76,19,Yes,"4,445","2,814",26.23,0,-0.8,13.7,,Dan Su,,
CRI,Carter's Inc,Yes,N,24,5,37,46,79,62,8,,"4,112","4,010",59.48,0,0.7,13.9,,Rita Spitz,,
PCLN,Priceline Group Inc/the,Yes,N,24,9,82,15,18,55,10,,"89,199","88,855",897.53,0,38.1,20.9,,Vivian Lin Thurston,,
EVO SS,Evolution Gaming Group Ab,,N,25,14,96,3,9,8,36,,"2,163","1,202",3.85,0,118.4,27.0,,Drew Buckley,,
IHG LN,Intercontinental Hotels Group Plc,Yes,N,25,4,76,31,9,58,4,,"9,517","8,861",43.68,0,31.0,19.1,,Vivian Lin Thurston,,
MPLU3 BZ,Multiplus Sa,,N,25,2,19,78,81,65,48,Yes,"1,892",515,3.39,0,23.9,13.2,,Bryan Shea,,
6755 JP,Fujitsu General Ltd,,N,25,3,27,78,52,30,32,,"2,222","1,156",16.37,0,-0.8,12.5,,Taylor Cope,,
COLM,Columbia Sportswear Co,Yes,N,25,7,47,38,75,65,14,,"3,864","1,605",9.92,0,7.1,18.2,,Rita Spitz,,
4732 JP,Uss Co Ltd,,N,26,6,83,12,27,78,2,,"6,062","4,111",9.89,0,28.9,22.2,,Dan Su,,
ARCO,Arcos Dorados Holdings Inc,,O,26,34,41,45,25,85,75,,"1,833","1,074",4.93,0,65.7,23.0,,Rita Spitz,,
OPAP GA,Opap Sa,Yes,O,26,16,47,75,14,80,53,,"3,584","2,401",6.00,0,40.0,14.4,,Rita Spitz,,
SCI,Service Corp International/us,Yes,N,26,54,70,2,11,57,7,,"6,649","6,384",33.33,0,23.9,22.7,,Rita Spitz,,
IPS FP,Ipsos,,N,27,46,7,74,59,64,14,,"1,459",900,5.46,0,14.7,9.7,,Drew Buckley,,
ARZZ3 BZ,Arezzo Industria E Comercio Sa,,N,27,18,77,17,41,28,13,,"1,253",609,4.00,0,55.1,24.4,,Rita Spitz,,
TNET BB,Telenet Group Holding Nv,Yes,N,27,21,57,53,28,14,41,,"7,852","3,290",14.59,0,24.6,19.6,,Drew Buckley,,
ITV LN,Itv Plc,,N,28,8,21,80,85,74,43,Yes,"8,561","7,697",60.52,0,-6.5,10.2,,William Benton,,
BOO LN,Boohoo.com Plc,,N,28,12,93,6,16,25,73,,"3,440","2,307",38.13,0,84.2,62.2,,Rita Spitz,,
GIL CN,Gildan Activewear Inc,,N,28,28,56,23,61,52,5,,"6,820","6,554",28.17,0,2.4,16.0,,Dan Su,,
EXID IN,Exide Industries Ltd,,N,28,8,59,47,37,46,22,,"2,613","1,326",5.64,0,27.6,18.3,,Taylor Cope,,
1317 HK,China Maple Leaf Educational Systems Ltd,,N,28,7,68,22,64,40,20,,"1,128",506,3.52,0,23.4,15.7,,Bryan Shea,,
2723 TT,Gourmet Master Co Ltd,,O,28,9,74,21,45,20,9,,"1,969",884,3.29,0,61.8,23.9,,Rita Spitz,,
CINE LN,Cineworld Group Plc,Yes,O,28,34,53,27,38,37,7,,"2,383","1,696",7.12,0,30.8,16.1,,Rita Spitz,,
BURL,Burlington Stores Inc,,N,28,4,61,31,64,20,15,,"6,031","5,949",120.44,0,1.2,18.8,,Rita Spitz,,
2727 TT,Wowprime Corp,,N,29,2,28,90,34,23,18,,469,323,3.97,0,38.6,20.8,,Bryan Shea,,
RRTL GR,Rtl Group Sa,,N,29,9,20,82,87,72,9,,"12,177","2,937",13.43,0,9.4,,,William Benton,,
BRE IM,Brembo Spa,Yes,O,29,9,75,29,32,63,42,,"5,021","2,225",8.34,0,28.3,15.6,,Taylor Cope,,
6460 JP,Sega Sammy Holdings Inc,,N,29,31,7,91,86,70,92,Yes,"3,549","2,284",22.07,0,-9.6,19.9,,Drew Buckley,,
TJX,Tjx Cos Inc/the,Yes,N,29,1,52,28,92,42,2,,"46,059","42,819",329.29,0,-6.7,16.9,,Vivian Lin Thurston,,
KGF LN,Kingfisher Plc,Yes,N,30,42,9,55,97,59,30,Yes,"8,342","8,341",75.86,0,-7.4,11.3,,Vivian Lin Thurston,,
1910 HK,Samsonite International Sa,,N,30,23,73,26,31,52,39,,"5,498","5,229",14.29,0,46.3,17.4,,Dan Su,,
MGLU3 BZ,Magazine Luiza Sa,,O,30,39,84,4,16,23,95,,"3,211",785,15.47,0,258.3,28.4,,Bryan Shea,,
WTB LN,Whitbread Plc,Yes,N,30,24,48,45,66,62,4,,"9,065","9,056",51.44,0,10.0,13.8,,Vivian Lin Thurston,,
RACE,Ferrari Nv,,O,31,2,94,10,8,44,43,,"21,763","14,297",70.32,0,83.6,,,Andrew Siepker,,
425 HK,Minth Group Ltd,,O,31,29,62,24,52,23,13,,"5,006","3,022",17.06,0,50.9,13.0,,Taylor Cope,,
CPG LN,Compass Group Plc,Yes,O,31,13,50,66,40,52,6,,"33,571","33,514",108.73,0,15.7,20.9,,Vivian Lin Thurston,,
MEGACPO MM,Megacable Holdings Sab De Cv,,O,31,35,46,25,73,59,25,,"3,755","3,755",3.00,0,26.6,16.4,,Drew Buckley,,
JD/ LN,Jd Sports Fashion Plc,,N,31,10,69,30,57,22,30,,"4,208","1,751",13.63,0,20.3,13.8,,Dan Su,,
BWY LN,Bellway Plc,,O,32,79,24,11,13,43,48,,"5,076","5,055",30.72,0,37.0,8.2,,Alaina Anderson,,
973 HK,L'occitane International Sa,,N,32,8,72,24,70,38,13,,"3,408",885,1.53,0,22.5,18.8,,Rita Spitz,,
ALV,Autoliv Inc,Yes,N,32,27,33,62,72,77,42,,"9,183","9,167",52.70,0,-2.8,15.1,,Andrew Siepker,,
WORK TB,Workpoint Entertainment Pcl,,NO,32,17,97,3,29,5,72,,861,283,4.02,0,55.3,31.4,,Greg Scolaro,,
SAX GR,Stroeer Se & Co Kgaa,,N,32,25,72,28,36,42,41,,"3,652","1,637",12.33,0,48.0,16.3,,Drew Buckley,,
DPZ,Domino's Pizza Inc,Yes,O,32,7,88,16,23,20,14,,"9,121","9,074",190.26,0,15.5,27.7,,Rita Spitz,,
MAR,Marriott International Inc/md,Yes,N,32,12,73,55,9,29,17,,"37,987","28,822",250.14,0,25.8,21.2,,Dan Su,,
BME LN,B&m European Value Retail Sa,,N,33,38,74,9,35,41,25,,"4,783","4,066",47.06,0,38.9,18.4,,Dan Su,,
HMCL IN,Hero Motocorp Ltd,Yes,O,33,3,65,49,42,53,10,,"12,107","5,455",23.01,0,29.3,18.9,,Andrew Siepker,,
DLG IM,De' Longhi Spa,Yes,N,34,11,66,57,29,69,15,,"4,525","1,719",4.36,0,39.1,19.6,,Dan Su,,
PSM GR,Prosiebensat.1 Media Se,Yes,O,34,5,16,91,91,67,25,Yes,"9,330","9,175",75.85,0,6.9,12.5,,William Benton,,
HUSQB SS,Husqvarna Ab,,O,34,32,34,70,40,40,26,,"5,611","3,845",24.17,0,29.8,14.7,,Anil Daka,,
018880 KS,Hanon Systems,Yes,O,34,20,46,57,82,75,12,,"5,485","1,362",11.37,0,13.3,16.8,,Greg Scolaro,,
THULE SS,Thule Group Ab,Yes,O,35,26,58,55,35,57,5,,"1,964","1,934",4.42,0,30.7,19.2,,Rita Spitz,,
1319 TT,Tong Yang Industry Co Ltd,,N,35,36,17,72,87,44,26,,"1,070",520,6.70,0,-1.4,10.5,,Greg Scolaro,,
MAPI IJ,Mitra Adiperkasa Tbk Pt,,N,35,36,54,33,46,24,69,,858,378,0.91,0,15.6,21.9,,Rita Spitz,,
MS IM,Mediaset Spa,,N,35,25,23,83,81,66,80,Yes,"4,714","1,236",17.70,0,-9.7,14.2,,Drew Buckley,,
CAKE,Cheesecake Factory Inc/the,,N,35,11,26,87,80,75,18,Yes,"1,974","1,826",57.72,0,-19.8,14.2,,Rita Spitz,,
SMWH LN,Wh Smith Plc,,O,36,8,68,43,60,70,3,,"2,646","2,627",13.61,0,22.5,16.9,,Rita Spitz,,
BLOOM PM,Bloomberry Resorts Corp,,NO,36,72,55,2,28,2,98,,"2,172",668,2.59,0,45.6,15.6,,Bryan Shea,,
PNDORA DC,Pandora A/s,Yes,N,36,3,28,80,92,33,18,Yes,"11,273","11,086",141.72,0,-10.5,9.7,,Vivian Lin Thurston,,
LOW,Lowe's Cos Inc,Yes,N,36,7,44,73,72,38,6,,"64,009","63,909",473.26,0,9.1,13.9,,Vivian Lin Thurston,,
3397 JP,Toridoll Holdings Corp,,N,37,19,74,48,34,37,29,,"1,327",670,10.82,0,29.0,19.5,,Rita Spitz,,
PUB FP,Publicis Groupe Sa,Yes,N,37,26,41,64,76,65,9,,"16,705","14,985",94.45,0,12.8,11.8,,William Benton,,
LUX IM,Luxottica Group Spa,Yes,N,37,15,78,37,40,67,6,,"26,912","8,227",53.28,0,12.1,22.2,,Vivian Lin Thurston,,
161390 KS,Hankook Tire Co Ltd,Yes,O,37,36,30,68,59,92,12,,"6,643","3,624",11.09,0,23.2,8.3,,Anil Daka,,
BIL IN,Balkrishna Industries Ltd,,O,37,17,85,49,5,52,42,,"2,230",776,3.87,0,55.0,16.2,,Bryan Shea,,
VTEX IN,Vardhman Textiles Ltd,,N,37,43,18,77,50,88,66,,"1,055",520,0.66,0,15.1,7.7,,Bryan Shea,,
MONC IM,Moncler Spa,,N,37,1,94,14,18,43,21,,"7,077","4,507",34.04,0,53.5,22.3,,Dan Su,,
590 HK,Luk Fook Holdings International Ltd,,N,37,51,56,15,35,66,54,,"2,134","1,172",4.48,0,42.2,13.7,,Rita Spitz,,
WLSI IN,Welspun India Ltd,,N,37,34,44,58,38,95,87,,"1,135",199,1.28,0,35.1,9.1,,Bryan Shea,,
ACES IJ,Ace Hardware Indonesia Tbk Pt,,O,37,4,86,16,56,33,25,,"1,369",548,1.08,0,39.7,21.7,,Rita Spitz,,
YUM,Yum! Brands Inc,Yes,N,37,4,84,32,27,61,31,,"26,392","26,348",145.50,0,20.0,24.0,,Vivian Lin Thurston,,
MSS IN,Motherson Sumi Systems Ltd,,O,38,25,94,12,11,6,46,,"10,197","3,737",15.00,0,57.9,22.8,,Anil Daka,,
5947 JP,Rinnai Corp,,N,38,30,58,38,65,67,13,,"4,561","2,951",10.27,0,15.7,19.4,,Dan Su,,
ADS GR,Adidas Ag,,O,38,23,88,16,43,13,43,,"46,644","44,121",228.92,0,44.4,24.1,,Vivian Lin Thurston,,
TSH SJ,Tsogo Sun Holdings Ltd,,N,38,38,17,67,93,47,4,,"1,754",839,4.80,0,-9.1,8.6,,Bryan Shea,,
W,Wayfair Inc,Yes,N,38,11,84,32,33,29,94,,"5,885","3,274",97.04,0,123.1,-84.3,,Rita Spitz,,
DKS,Dick's Sporting Goods Inc,Yes,N,38,11,11,94,99,77,35,Yes,"2,955","2,241",102.97,0,-30.4,9.1,,Rita Spitz,,
AGL IM,Autogrill Spa,Yes,O,39,26,59,74,17,65,41,,"3,217","1,601",11.01,0,31.7,24.0,,Rita Spitz,,
FFGRP GA,Ff Group,,N,39,81,19,5,80,76,36,,"1,615",834,3.86,0,19.2,6.2,,Rita Spitz,,
BMAX SS,Byggmax Group Ab,,N,39,30,47,48,77,39,29,,502,499,2.21,0,21.1,12.6,,Rita Spitz,,
ASCL LN,Ascential Plc,,NO,39,48,72,9,35,36,13,,"1,895","1,875",7.68,0,41.8,19.0,,Drew Buckley,,
BRBY LN,Burberry Group Plc,Yes,O,39,1,67,61,44,69,17,,"9,901","9,081",68.51,0,23.8,20.1,,Vivian Lin Thurston,,
FORN SW,Forbo Holding Ag,,N,40,3,73,56,34,80,13,,"2,700","1,800",9.23,0,17.4,17.8,,Taylor Cope,,
2238 HK,Guangzhou Automobile Group Co Ltd,,N,40,56,44,25,37,26,51,,"21,148","3,991",49.11,0,81.2,8.0,,Andrew Siepker,,
MRP SJ,Mr Price Group Ltd,Yes,N,40,4,65,44,81,26,21,,"3,730","2,805",20.13,0,19.6,16.2,,Dan Su,,
PII,Polaris Industries Inc,Yes,N,40,16,67,55,61,36,28,,"5,767","5,367",58.18,0,9.1,17.5,,Anil Daka,,
HBI,Hanesbrands Inc,Yes,N,40,44,22,56,85,61,23,,"8,547","8,455",92.65,0,9.4,10.9,,Rita Spitz,,
HTHT,China Lodging Group Ltd,Yes,O,41,8,97,14,10,4,70,,"7,857","7,857",23.97,0,83.6,,,Rita Spitz,,
4661 JP,Oriental Land Co Ltd/japan,,N,41,15,96,12,25,69,19,,"26,451","14,403",56.60,0,25.2,30.0,,Vivian Lin Thurston,,
FXJ AU,Fairfax Media Ltd,,N,41,40,47,40,63,85,39,,"1,795","1,791",15.55,0,25.1,16.0,,Drew Buckley,,
EVD GR,Cts Eventim Ag & Co Kgaa,Yes,O,41,3,80,49,34,32,9,,"4,221","2,395",10.90,0,49.0,27.9,,Drew Buckley,,
A3M SM,Atresmedia Corp De Medios De Comunicacion Sa,,O,41,18,32,91,76,52,53,Yes,"2,634",567,10.18,0,7.5,13.2,,Drew Buckley,,
7202 JP,Isuzu Motors Ltd,Yes,N,41,34,26,79,71,62,63,,"10,946","7,166",33.44,0,2.6,9.7,,Andrew Siepker,,
AZO,Autozone Inc,Yes,N,41,6,36,68,99,51,2,,"14,552","14,459",340.79,0,-33.3,10.8,,Andrew Siepker,,
039130 KS,Hana Tour Service Inc,,N,42,7,74,56,41,6,77,,847,565,6.88,0,40.5,20.1,,Bryan Shea,,
SKY LN,Sky Plc,Yes,N,42,24,54,61,76,83,35,,"21,092","12,826",101.34,0,3.2,13.3,,William Benton,,
1928 HK,Sands China Ltd,Yes,O,42,8,84,32,54,42,30,,"36,358","10,847",61.96,0,13.0,20.9,,Vivian Lin Thurston,,
